"match_id","points_per_kick","home_ground","temp","humidity","dew","precip","precipprob","windspeed","winddir","conditions"
14787,3.28846153846154,"Melbourne Cricket Ground",66.2,69.94,56.1,0,0,185,185,"Partially cloudy"
14788,3,"Melbourne Cricket Ground",65.4,64.21,53,0,0,182,182,"Partially cloudy"
14789,2.95,"Carrara Stadium",84,51.3,64.1,0,0,55,55,"Partially cloudy"
14790,3.84615384615385,"Docklands Stadium",64.6,74.17,56.2,0,0,165,165,"Partially cloudy"
14791,2.85483870967742,"Sydney Cricket Ground",73.9,66.65,62.1,0,0,66,66,"Clear"
14792,2.82,"Docklands Stadium",63.9,46.91,43.2,0,0,172,172,"Partially cloudy"
14793,3.91379310344828,"Adelaide Oval",67.4,43.83,44.6,0.002,0.002,119,119,"Rain, Overcast"
14794,4.36666666666667,"Perth Stadium",93.2,52.77,73.4,0,0,270,270,"Partially cloudy"
14795,3.76923076923077,"Kardinia Park",65,43.44,42.2,0,0,157,157,"Overcast"
14796,3.52083333333333,"Melbourne Cricket Ground",75.3,32.52,43.8,0,0,352,352,"Partially cloudy"
14797,3.53125,"Adelaide Oval",71.1,50.15,51.6,0,0,230,230,"Partially cloudy"
14798,3.02127659574468,"Docklands Stadium",64.9,58.11,49.8,0,0,180,180,"Partially cloudy"
14799,3.01538461538462,"The Gabba",84.9,51.74,65.2,0,0,49,49,"Clear"
14800,2.97560975609756,"Docklands Stadium",62.1,53.22,44.9,0,0,178,178,"Partially cloudy"
14801,3.35820895522388,"Perth Stadium",91.4,43.65,66.2,0,0,330,330,"Partially cloudy"
14802,3.36170212765957,"Sydney Showground Stadium",72.6,68.35,61.6,0,0,172,172,"Partially cloudy"
14803,2.86274509803922,"Melbourne Cricket Ground",65.4,46.07,44.1,0,0,186,186,"Partially cloudy"
14804,3.57142857142857,"Docklands Stadium",63.9,50.03,44.9,0,0,189,189,"Clear"
14805,3.33333333333333,"Adelaide Oval",58.2,72.55,49.5,0,0,238,238,"Clear"
14806,3.87037037037037,"Docklands Stadium",68.1,58.41,52.9,0,0,201,201,"Overcast"
14807,3.70689655172414,"Melbourne Cricket Ground",69.4,48.23,49,0,0,110,110,"Partially cloudy"
14808,3.45652173913043,"Sydney Cricket Ground",72.1,62.39,58.5,0,0,143,143,"Partially cloudy"
14809,2.58,"Carrara Stadium",73.6,80.97,67.4,0,0,21,21,"Clear"
14810,2.7037037037037,"Perth Stadium",89.7,62.17,75,0,0,220,220,"Overcast"
14811,4.04615384615385,"Docklands Stadium",69.5,48.51,49.2,0,0,280,280,"Partially cloudy"
14812,3.6734693877551,"Docklands Stadium",72.5,42.94,48.7,0,0,231,231,"Partially cloudy"
